Registered Date,Property Type,Lender
12/10/2014,Single Family,JP Morgan Chase NA
4/2/2014,Multi-Family,Ocwen Loan Servicing  LLC
1/30/2014,Single Family,Wells Fargo Bank N.A.
10/18/2014,Single Family,Green Tree
7/24/2014,Single Family,JP Morgan Chase NA
2/4/2014,Single Family,Nationstar Mortgage LLC
8/25/2014,Multi-Family,Glen Biener
12/9/2014,Single Family,Nationstar Mortgage LLC
11/6/2014,Single Family,Shellpoint Mortgage Services
6/3/2014,Single Family,BAC HOME LOANS SERVICING
11/7/2014,Single Family,Nationstar Mortgage LLC
12/15/2014,Single Family,Ocwen Loan Servicing  LLC
1/30/2014,Multi-Family,Wells Fargo Bank N.A.
1/15/2014,Single Family,JP Morgan Chase NA
8/25/2014,Single Family,Nationstar Mortgage
11/24/2014,Single Family,Ocwen Loan Servicing  LLC
1/24/2014,Single Family,Green Tree
1/30/2014,Multi-Family,Wells Fargo Bank N.A.
12/4/2014,Single Family,NationStar
6/11/2014,Multi-Family,BAC HOME LOANS SERVICING
12/10/2014,Single Family,Metro Commercial Corp
1/17/2014,Multi-Family,JP Morgan Chase NA
12/22/2014,Single Family,Select Portfolio Servicing
4/10/2014,Single Family,Ocwen Loan Servicing  LLC
3/26/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
1/13/2014,Single Family,HSBC MORTGAGE CORPORATION
1/17/2014,Single Family,NATIONSTAR MORTGAGE LLC
3/17/2014,Single Family,Flagstar
9/30/2014,Single Family,JP Morgan Chase NA
6/9/2014,Single Family,Wells Fargo Bank N.A.
3/27/2014,Multi-Family,US Bank  N.A.  as Trustee  c/o Select Portfolio Servicing
11/26/2014,Single Family,Bank of America  C/O Select Portfolio Servicing
1/17/2014,Single Family,JP Morgan Chase NA
3/5/2014,Single Family,Ocwen Loan Servicing  LLC
10/27/2014,Single Family,U.S. Bank National Association C/O Select Portfolio Servicing
11/18/2014,Single Family,Bank of America
8/25/2014,Single Family,Ocwen Loan Servicing  LLC
10/21/2014,Single Family,Wells Fargo Bank N.A.
12/8/2014,Multi-Family,OneWest Bank
